Date,TCS,Reliance,HDFC,SBI
2017-08-29,1103.0179443359375,754.437012,856.553528,260.724701
2017-08-30,1109.1337890625,770.169312,867.541565,260.348206
2017-08-31,1114.401611328125,785.138428,871.416748,261.430603
2017-09-01,1096.5897216796875,792.819885,867.0755,261.524719
2017-09-04,1096.4779052734375,794.420227,858.883545,261.430603
2017-09-05,1109.044921875,803.898987,861.066467,260.301147
2017-09-06,1095.138916015625,810.201721,863.298462,258.136292
2017-09-07,1098.21923828125,805.671631,866.560486,258.089203
2017-09-08,1102.9066162109375,804.489929,876.910828,255.8302
2017-09-11,1095.6968994140625,805.474731,894.423035,255.030167
2017-09-12,1110.8748779296875,811.23584,900.235901,257.383301
2017-09-13,1111.2098388671875,836.102234,903.498047,257.336182
2017-09-14,1110.2054443359375,831.030457,902.296143,258.089203
2017-09-15,1118.7318115234375,829.011597,906.980774,255.547836
2017-09-18,1115.60693359375,832.70459,912.622009,254.512482
2017-09-19,1115.249755859375,825.860168,907.348694,252.065231
2017-09-20,1113.1517333984375,834.280334,906.931702,254.183029
2017-09-21,1127.146728515625,828.568359,902.149048,252.724106
2017-09-22,1117.63818359375,804.9823,894.791016,246.464828
2017-09-25,1120.830078125,809.069275,882.846375,243.546982
2017-09-26,1104.7144775390625,807.641235,879.191895,243.076355
2017-09-27,1113.7989501953125,787.009521,871.441345,235.687576
2017-09-28,1105.5181884765625,774.502441,880.663452,237.711273
2017-09-29,1087.4384765625,769.036804,885.765076,238.934875
2017-10-03,1093.0184326171875,786.22168,887.310242,236.534714
2017-10-04,1090.27294921875,806.410217,881.497314,238.323059
2017-10-05,1084.603515625,811.629761,882.282227,236.817093
2017-10-06,1092.2147216796875,824.33374,883.018066,241.66449
2017-10-09,1095.540771484375,818.031006,880.761536,241.758606
2017-10-10,1097.840087890625,830.390381,884.293457,241.852737
2017-10-11,1116.18701171875,827.386658,878.137268,236.958267
2017-10-12,1137.5479736328125,859.491394,892.191101,236.440582
2017-10-13,1142.1907958984375,863.135193,907.888367,237.287704
2017-10-16,1153.7083740234375,863.479919,911.003296,237.240646
2017-10-17,1158.2392578125,861.067078,908.10907,236.393494
2017-10-18,1154.6903076171875,900.607117,916.570923,229.428299
2017-10-19,1153.485107421875,896.077087,906.71106,228.487076
2017-10-23,1155.2706298828125,925.473633,914.02002,231.499039
2017-10-24,1151.029541015625,920.05719,915.884155,239.499619
2017-10-25,1145.8819580078125,925.621338,880.565369,305.810272
2017-10-26,1136.459228515625,933.007446,880.687988,301.668793
2017-10-27,1156.8040771484375,915.723877,878.578674,292.774017
2017-10-30,1171.08349609375,928.181763,890.327026,293.668243
2017-10-31,1174.574951171875,926.556824,887.13855,287.83252
2017-11-01,1165.107666015625,938.079102,893.368408,301.057037
2017-11-02,1175.537109375,932.219482,893.809937,295.880157
2017-11-03,1172.829345703125,930.93927,898.028503,305.904419
2017-11-06,1193.173828125,918.33374,896.998413,309.669373
2017-11-07,1213.0931396484375,892.925659,894.594727,298.562744
2017-11-08,1224.26171875,874.312805,895.698425,291.362183
2017-11-09,1224.8883056640625,886.819824,896.630432,295.268341
2017-11-10,1212.511474609375,870.422791,893.760803,313.952026
2017-11-13,1234.9820556640625,861.953491,889.615845,311.598938
2017-11-14,1215.1298828125,873.229492,884.121704,309.763519
2017-11-15,1210.96728515625,870.275085,883.091614,305.85733
2017-11-16,1229.4765625,890.118958,886.746155,313.810883
2017-11-17,1211.862548828125,898.046692,895.502258,317.669952
2017-11-20,1210.138916015625,906.860657,901.683044,313.434357
2017-11-21,1196.4864501953125,918.382935,905.656372,311.222473
2017-11-22,1199.9329833984375,916.610291,910.071289,315.599213
2017-11-23,1200.2015380859375,932.613403,903.988525,315.269806
2017-11-24,1203.245361328125,936.651123,908.182617,312.869598
2017-11-27,1202.2608642578125,936.897339,911.199524,315.92868
2017-11-28,1202.0145263671875,929.01886,915.025635,312.493134
2017-11-29,1189.861328125,931.628662,918.925476,309.575287
2017-11-30,1180.393798828125,907.550049,909.310852,301.527618
2017-12-01,1177.238525390625,896.273987,906.612915,294.374176
2017-12-04,1178.312744140625,887.903137,899.69635,295.174225
2017-12-05,1179.7449951171875,899.819336,893.000427,300.351074
2017-12-06,1178.7379150390625,912.572571,884.587769,294.044739
2017-12-07,1171.553466796875,917.398132,887.702698,297.809723
2017-12-08,1164.50341796875,907.008484,902.786743,294.703613
2017-12-11,1191.18212890625,902.232117,905.72998,299.692169
2017-12-12,1169.2706298828125,901.69043,892.730652,299.739288
2017-12-13,1176.54443359375,900.754883,893.441956,294.891846
2017-12-14,1144.942138671875,907.500793,901.634033,295.550751
2017-12-15,1139.4810791015625,905.777405,918.998962,293.903564
2017-12-18,1155.1031494140625,907.008484,921.69696,300.162811
2017-12-19,1152.775146484375,911.88324,924.419495,301.009949
2017-12-20,1158.885498046875,904.20166,916.39917,298.845093
2017-12-21,1161.9072265625,899.080688,916.472778,298.13916
2017-12-22,1184.7584228515625,906.417603,920.568787,301.057037
2017-12-26,1185.966796875,915.674683,916.497253,298.515656
2017-12-27,1172.7396240234375,909.716675,910.807068,296.3508
